"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
5134,1,"CDC Asterix AGL","1","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,13,47,47,70,89,"Su18",2.81818181818182,0.021277,34,42,17.6,16.1,48.5593020574034
5635,1,"CDC Asterix AGL","2","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,14,50,50,71,92,"Su18",3.36363636363636,0.02,36,42,17.6,16.1,48.5593020574034
5762,1,"CDC Asterix AGL","3","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,13,47,47,71,93,"Su18",2.81818181818182,0.021277,34,46,17.6,16.1,48.5593020574034
387,1,"CDC Asterix AGL","1","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,15,53,53,71,96,"Su16",3.2,0.018868,38,43,16.7,15.9,50.129316557446
506,1,"CDC Asterix AGL","2","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,11,54,54,71,102,"Su16",3.4,0.018519,43,48,16.7,15.9,50.129316557446
754,1,"CDC Asterix AGL","3","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,54,54,76,100,"Su16",3.4,0.018519,41,46,16.7,15.9,50.129316557446
5403,1,"CDC Asterix AGL","1","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,15,55,55,74,90,"Su17",3.88,0.018182,40,35,15.7,16.1,49.6380449000664
5588,1,"CDC Asterix AGL","2","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,10,56,56,72,90,"Su17",4.04,0.017857,46,34,15.7,16.1,49.6380449000664
5958,1,"CDC Asterix AGL","3","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,11,53,53,72,89,"Su17",3.56,0.018868,42,36,15.7,16.1,49.6380449000664
1142,1,"CDC Asterix AGL","1","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,143,143,164,179,"It16",4.08771929824561,0.006993,119,36,10.6,10.9,137.706354481084
1450,1,"CDC Asterix AGL","2","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,133,133,158,175,"It16",3.3859649122807,0.007519,109,42,10.6,10.9,137.706354481084
1949,1,"CDC Asterix AGL","3","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-30,23,134,134,155,170,"It16",3.45614035087719,0.007463,111,36,10.6,10.9,137.706354481084
260,1,"CDC Asterix AGL","1","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,144,144,163,174,"It17",4.36842105263158,0.006944,121,30,11.2,10.8,136.411925577981
509,1,"CDC Asterix AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,146,146,165,174,"It17",4.50877192982456,0.006849,123,28,11.2,10.8,136.411925577981
697,1,"CDC Asterix AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,22,143,143,152,175,"It17",4.29824561403509,0.006993,121,32,11.2,10.8,136.411925577981
1305,1,"CDC Asterix AGL","1","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,49,49,68,96,"Ro16",3.5,0.020408,41,47,17.2,16.1,49.8199777604967
1551,1,"CDC Asterix AGL","2","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,44,44,71,96,"Ro16",2.25,0.022727,36,52,17.2,16.1,49.8199777604967
1908,1,"CDC Asterix AGL","3","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,48,48,64,96,"Ro16",3.25,0.020833,40,48,17.2,16.1,49.8199777604967
6454,1,"CDC Asterix AGL","2","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,49,49,62,80,"Ro17",3.78260869565217,0.020408,40,31,17.5,16.4,47.5931772552736
6207,1,"CDC Asterix AGL","1","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,49,49,61,NA,"Ro17",3.78260869565217,0.020408,40,NA,17.5,16.4,47.5931772552736
6826,1,"CDC Asterix AGL","3","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,48,48,61,NA,"Ro17",3.60869565217391,0.020833,39,NA,17.5,16.4,47.5931772552736
3900,1,"CDC Asterix AGL","3","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,27,122,122,139,145,"Ne16",3.82105263157895,0.008197,95,23,19.2,11,89.4660651256044
2196,1,"CDC Asterix AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,28,133,133,151,159,"Ne17",4.30275229357798,0.007519,105,26,19.4,10.8,92.4084634236555
2485,1,"CDC Asterix AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,23,124,124,144,153,"Ne17",3.97247706422018,0.008065,101,29,19.4,10.8,92.4084634236555
2814,1,"CDC Asterix AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,24,127,127,148,156,"Ne17",4.08256880733945,0.007874,103,29,19.4,10.8,92.4084634236555
3303,1,"CDC Asterix AGL","1","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-14,27,124,124,NA,NA,"Ne16",3.90526315789474,0.008065,97,NA,19.2,11,89.4660651256044
3584,1,"CDC Asterix AGL","2","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-15,26,123,123,NA,NA,"Ne16",3.86315789473684,0.00813,97,NA,19.2,11,89.4660651256044
4228,1,"CDC Asterix AGL","1","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,127,127,132,156,"Sp16",4.5,0.007874,102,29,12.5,10.9,128.022784718878
4454,1,"CDC Asterix AGL","2","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,125,125,127,154,"Sp16",4.3,0.008,100,29,12.5,10.9,128.022784718878
4788,1,"CDC Asterix AGL","3","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,119,119,127,147,"Sp16",3.7,0.008403,94,28,12.5,10.9,128.022784718878
2210,1,"CDC Asterix AGL","1","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,133,133,140,154,"Sp17",4.42857142857143,0.007519,112,21,11.7,11.1,127.872998786099
2493,1,"CDC Asterix AGL","2","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,132,132,140,154,"Sp17",4.3469387755102,0.007576,111,22,11.7,11.1,127.872998786099
2912,1,"CDC Asterix AGL","3","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,134,134,140,154,"Sp17",4.51020408163265,0.007463,113,20,11.7,11.1,127.872998786099
1265,1,"CDC Asterix AGL","1","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,8,83,83,NA,NA,"In17",4.82978723404255,0.012048,75,NA,20.6,10.7,113.370286738914
1927,1,"CDC Asterix AGL","3","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,6,72,72,NA,NA,"In17",3.8936170212766,0.013889,66,NA,20.6,10.7,113.370286738914
5255,1,"CDC Asterix AGL","1","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,NA,86,NA,NA,"In16",5,0.011628,NA,NA,17.6,10.9,114.397041083644
5684,1,"CDC Asterix AGL","2","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,NA,86,NA,NA,"In16",5,0.011628,NA,NA,17.6,10.9,114.397041083644
6045,1,"CDC Asterix AGL","3","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,NA,86,NA,NA,"In16",5,0.011628,NA,NA,17.6,10.9,114.397041083644
2201,1,"CDC Asterix AGL","1","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,10,130,130,146,158,"Mo16",4.18840579710145,0.007692,120,28,12,10.8,133.019783448523
2612,1,"CDC Asterix AGL","2","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,11,130,130,146,158,"Mo16",4.18840579710145,0.007692,119,28,12,10.8,133.019783448523
2959,1,"CDC Asterix AGL","3","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,10,130,130,146,158,"Mo16",4.18840579710145,0.007692,120,28,12,10.8,133.019783448523
1254,1,"CDC Asterix AGL","1","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,125,125,140,169,"Mo17",3.86567164179104,0.008,112,44,11.8,11.5,118.554178165631
1581,1,"CDC Asterix AGL","2","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,123,123,140,166,"Mo17",3.74626865671642,0.00813,110,43,11.8,11.5,118.554178165631
1892,1,"CDC Asterix AGL","3","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,123,123,140,166,"Mo17",3.74626865671642,0.00813,110,43,11.8,11.5,118.554178165631
210,1,"CDC Asterix AGL","1","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,7,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,103.922716963291
745,1,"CDC Asterix AGL","2","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,6,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,103.922716963291
929,1,"CDC Asterix AGL","3","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,5,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,103.922716963291
216,1,"CDC Asterix AGL","1","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,94,94,NA,NA,"Ba17",4.21311475409836,0.010638,88,NA,21.7,11,89.5882274362193
621,1,"CDC Asterix AGL","2","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,90,90,NA,NA,"Ba17",3.95081967213115,0.011111,84,NA,21.7,11,89.5882274362193
663,1,"CDC Asterix AGL","3","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,93,93,NA,NA,"Ba17",4.14754098360656,0.010753,87,NA,21.7,11,89.5882274362193
2088,1,"CDC Asterix AGL","1","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,18,62,62,79,99,"Us18",3.13333333333333,0.016129,44,37,15.8,14.3,66.0895282351606
2875,1,"CDC Asterix AGL","3","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,21,60,60,77,93,"Us18",2.86666666666667,0.016667,39,33,15.8,14.3,66.0895282351606
5075,2,"CDC Rosie AGL","1","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,11,50,50,70,92,"Su18",3.36363636363636,0.02,39,42,17.6,16.1,51.9039025998893
5446,2,"CDC Rosie AGL","2","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,12,50,50,70,87,"Su18",3.36363636363636,0.02,38,37,17.6,16.1,51.9039025998893
5690,2,"CDC Rosie AGL","3","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,13,50,50,72,93,"Su18",3.36363636363636,0.02,37,43,17.6,16.1,51.9039025998893
314,2,"CDC Rosie AGL","1","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,15,56,56,76,97,"Su16",3.8,0.017857,41,41,16.7,15.9,55.1893336823285
613,2,"CDC Rosie AGL","2","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,15,57,57,76,104,"Su16",4,0.017544,42,47,16.7,15.9,55.1893336823285
928,2,"CDC Rosie AGL","3","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,59,59,76,103,"Su16",4.4,0.016949,46,44,16.7,15.9,55.1893336823285
5315,2,"CDC Rosie AGL","1","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,14,61,61,76,NA,"Su17",4.84,0.016393,47,NA,15.7,16.1,56.943371054429
5523,2,"CDC Rosie AGL","2","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,11,59,59,74,NA,"Su17",4.52,0.016949,48,NA,15.7,16.1,56.943371054429
6066,2,"CDC Rosie AGL","3","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,12,57,57,74,NA,"Su17",4.2,0.017544,45,NA,15.7,16.1,56.943371054429
1245,2,"CDC Rosie AGL","1","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,128,128,150,174,"It16",3.03508771929825,0.007812,104,46,10.6,10.9,129.179257554188
1643,2,"CDC Rosie AGL","2","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,128,128,156,175,"It16",3.03508771929825,0.007812,104,47,10.6,10.9,129.179257554188
1840,2,"CDC Rosie AGL","3","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,128,128,150,175,"It16",3.03508771929825,0.007812,104,47,10.6,10.9,129.179257554188
400,2,"CDC Rosie AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,139,139,159,174,"It17",4.01754385964912,0.007194,116,35,11.2,10.8,126.948558196479
699,2,"CDC Rosie AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,22,138,138,152,173,"It17",3.94736842105263,0.007246,116,35,11.2,10.8,126.948558196479
1113,2,"CDC Rosie AGL","1","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,9,53,53,69,96,"Ro16",4.5,0.018868,44,43,17.2,16.1,52.532537554395
1504,2,"CDC Rosie AGL","2","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,9,52,52,75,98,"Ro16",4.25,0.019231,43,46,17.2,16.1,52.532537554395
1975,2,"CDC Rosie AGL","3","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,52,52,76,98,"Ro16",4.25,0.019231,44,46,17.2,16.1,52.532537554395
6389,2,"CDC Rosie AGL","1","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,51,51,68,NA,"Ro17",4.1304347826087,0.019608,42,NA,17.5,16.4,49.9847245429615
6463,2,"CDC Rosie AGL","2","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,10,51,51,67,NA,"Ro17",4.1304347826087,0.019608,41,NA,17.5,16.4,49.9847245429615
6846,2,"CDC Rosie AGL","3","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,51,51,71,NA,"Ro17",4.1304347826087,0.019608,42,NA,17.5,16.4,49.9847245429615
3618,2,"CDC Rosie AGL","2","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-15,20,127,127,145,148,"Ne16",4.03157894736842,0.007874,107,21,19.2,11,84.5837758761808
2028,2,"CDC Rosie AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,26,125,125,147,156,"Ne17",4.00917431192661,0.008,99,31,19.4,10.8,86.7524026246766
2361,2,"CDC Rosie AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,8,121,121,144,153,"Ne17",3.86238532110092,0.008264,113,32,19.4,10.8,86.7524026246766
2694,2,"CDC Rosie AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,22,124,124,144,150,"Ne17",3.97247706422018,0.008065,102,26,19.4,10.8,86.7524026246766
3952,2,"CDC Rosie AGL","3","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,26,122,122,NA,NA,"Ne16",3.82105263157895,0.008197,96,NA,19.2,11,84.5837758761808
4190,2,"CDC Rosie AGL","1","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,118,118,127,156,"Sp16",3.6,0.008475,93,38,12.5,10.9,120.916425633563
4505,2,"CDC Rosie AGL","2","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,119,119,127,156,"Sp16",3.7,0.008403,94,37,12.5,10.9,120.916425633563
4771,2,"CDC Rosie AGL","3","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,119,119,127,NA,"Sp16",3.7,0.008403,94,NA,12.5,10.9,120.916425633563
2088,2,"CDC Rosie AGL","1","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,121,121,133,152,"Sp17",3.44897959183673,0.008264,100,31,11.7,11.1,122.72807518732
2411,2,"CDC Rosie AGL","2","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,121,121,137,154,"Sp17",3.44897959183673,0.008264,100,33,11.7,11.1,122.72807518732
2823,2,"CDC Rosie AGL","3","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,130,130,134,154,"Sp17",4.18367346938776,0.007692,109,24,11.7,11.1,122.72807518732
5405,2,"CDC Rosie AGL","1","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,8,85,85,NA,NA,"In16",4.92592592592593,0.011765,77,NA,17.6,10.9,106.155424689268
